 Epoch \ PRN        R01        R02        R03        R04        R05        R06        R07        R08        R09        R10        R11        R12        R13        R14        R15        R16        R17        R18        R19        R20        R21        R22        R23        R24
 Epoch 0021:    -0.0819    -0.1401     0.0000     0.0000     0.0000     0.0000     0.0000    -0.4629     0.0000     0.0000    -0.0422    -0.0266     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.1008     0.5526     0.0000     0.0000
 Epoch 0022:    -0.0626    -0.0016     0.0000     0.0000     0.0000     0.0000     0.0000    -0.2696     0.0000     0.0000    -0.0255     0.1204     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.4501     0.5365     0.0000     0.0000
 Epoch 0023:    -0.0876     0.1447     0.0000     0.0000     0.0000     0.0000     0.0000    -0.4734     0.0000     0.0000    -0.0104     0.1011     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.2501     0.5750     0.0000     0.0000
 Epoch 0024:    -0.0986     0.0771     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3877     0.0000     0.0000    -0.0454     0.2439     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.2887     0.5380     0.0000     0.0000
 Epoch 0025:    -0.0605     0.0755     0.0000     0.0000     0.0000     0.0000     0.0000    -0.4096     0.0000     0.0000    -0.0600     0.0349     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.2454     0.5453     0.0000     0.0000
 Epoch 0026:    -0.0308    -0.0135     0.0000     0.0000     0.0000     0.0000     0.0000    -0.4697     0.0000     0.0000     0.0401     0.1011     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.3592     0.6156     0.0000     0.0000
 Epoch 0027:    -0.0715     0.0234     0.0000     0.0000     0.0000     0.0000     0.0000    -0.4389     0.0000     0.0000    -0.0370     0.2027     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.2062     0.4573     0.0000     0.0000
 Epoch 0028:    -0.1434     0.0255     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3532     0.0000     0.0000     0.0052     0.0818     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.2303     0.6078     0.0000     0.0000
 Epoch 0029:    -0.0146     0.1755     0.0000     0.0000     0.0000     0.0000     0.0000    -0.4384     0.0000     0.0000    -0.0626     0.1402     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.2595     0.4927     0.0000     0.0000
 Epoch 0030:    -0.0355     0.0057     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3845     0.0000     0.0000     0.0495     0.0281     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.1686     0.5885     0.0000     0.0000
 Epoch 0031:    -0.1330     0.0599     0.0000     0.0000     0.0000     0.0000     0.0000    -0.4822     0.0000     0.0000    -0.0881     0.2142     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.3279     0.5974     0.0000     0.0000
 Epoch 0032:    -0.1236    -0.0750     0.0000     0.0000     0.0000     0.0000     0.0000    -0.4128     0.0000     0.0000    -0.0996     0.1366     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.2182     0.4792     0.0000     0.0000
 Epoch 0033:    -0.0751     0.1499     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3720     0.0000     0.0000     0.0735     0.0870     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.2407     0.5401     0.0000     0.0000
 Epoch 0034:    -0.0662     0.0562     0.0000     0.0000     0.0000     0.0000     0.0000    -0.4556     0.0000     0.0000     0.0287     0.1105     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.2068     0.6339     0.0000     0.0000
 Epoch 0035:    -0.0428     0.1541     0.0000     0.0000     0.0000     0.0000     0.0000    -0.2931     0.0000     0.0000    -0.0292     0.1485     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.1509     0.4391     0.0000     0.0000
