 Epoch \ PRN        R01        R02        R03        R04        R05        R06        R07        R08        R09        R10        R11        R12        R13        R14        R15        R16        R17        R18        R19        R20        R21        R22        R23        R24
 Epoch 0024:   69.39725   72.23091    0.00000    0.00000    0.00000    0.00000    0.00000   83.73563    0.00000    0.00000   71.28890   73.12997    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   77.97854   99.31079    0.00000    0.00000
 Epoch 0025:   69.38746   72.08198    0.00000    0.00000    0.00000    0.00000    0.00000   83.90260    0.00000    0.00000   71.17299   72.97721    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   77.72722   98.96611    0.00000    0.00000
 Epoch 0026:   69.39858   72.05371    0.00000    0.00000    0.00000    0.00000    0.00000   84.11593    0.00000    0.00000   71.08954   72.97100    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   77.51877   98.69223    0.00000    0.00000
 Epoch 0027:   69.49981   72.07185    0.00000    0.00000    0.00000    0.00000    0.00000   84.38902    0.00000    0.00000   71.17379   72.97256    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   77.40426   98.47256    0.00000    0.00000
 Epoch 0028:   69.54097   72.12939    0.00000    0.00000    0.00000    0.00000    0.00000   84.59328    0.00000    0.00000   71.15872   73.00247    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   77.23129   98.18335    0.00000    0.00000
 Epoch 0029:   69.51418   72.00545    0.00000    0.00000    0.00000    0.00000    0.00000   84.68593    0.00000    0.00000   71.05815   72.84796    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   77.02035   97.84197    0.00000    0.00000
 Epoch 0030:   69.43223   71.88777    0.00000    0.00000    0.00000    0.00000    0.00000   84.75867    0.00000    0.00000   70.95098   72.63049    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   76.82556   97.38403    0.00000    0.00000
 Epoch 0031:   69.47796   71.76892    0.00000    0.00000    0.00000    0.00000    0.00000   84.91471    0.00000    0.00000   70.92033   72.51563    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   76.75554   97.05575    0.00000    0.00000
 Epoch 0032:   69.46178   71.68018    0.00000    0.00000    0.00000    0.00000    0.00000   85.06601    0.00000    0.00000   70.94566   72.42082    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   76.68596   96.81764    0.00000    0.00000
 Epoch 0033:   69.40678   71.63891    0.00000    0.00000    0.00000    0.00000    0.00000   85.19585    0.00000    0.00000   70.94290   72.30787    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   76.62852   96.51447    0.00000    0.00000
 Epoch 0034:   69.40989   71.65529    0.00000    0.00000    0.00000    0.00000    0.00000   85.34088    0.00000    0.00000   70.90145   72.20279    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   76.48633   96.17313    0.00000    0.00000
 Epoch 0035:   69.37012   71.49676    0.00000    0.00000    0.00000    0.00000    0.00000   85.46565    0.00000    0.00000   70.85022   72.05504    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   76.34881   95.84627    0.00000    0.00000
 Epoch 0036:   69.35873   71.51292    0.00000    0.00000    0.00000    0.00000    0.00000   85.64698    0.00000    0.00000   70.88383   71.98577    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   76.20008   95.57792    0.00000    0.00000
