 Epoch \ PRN        R01        R02        R03        R04        R05        R06        R07        R08        R09        R10        R11        R12        R13        R14        R15        R16        R17        R18        R19        R20        R21        R22        R23        R24
 Epoch 0024:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   72.43749   98.22925   96.08973    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  107.08573    0.00000    0.00000    0.00000    0.00000   65.98593   53.80939    0.00000    0.00000
 Epoch 0025:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   72.96041   98.14298   95.89058    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  107.19257    0.00000    0.00000    0.00000    0.00000   66.24674   53.80757    0.00000    0.00000
 Epoch 0026:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   73.47956   97.96915   95.71724    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  107.45025    0.00000    0.00000    0.00000    0.00000   66.52929   53.81970    0.00000    0.00000
 Epoch 0027:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   73.94157   98.09858   95.52656    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  107.69580    0.00000    0.00000    0.00000    0.00000   66.80793   53.88496    0.00000    0.00000
 Epoch 0028:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   74.60105   98.24435   95.29952    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  107.93465    0.00000    0.00000    0.00000    0.00000   67.08050   53.92265    0.00000    0.00000
 Epoch 0029:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   98.41747   95.25424    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  108.38041    0.00000    0.00000    0.00000    0.00000   67.49424   54.16030    0.00000    0.00000
 Epoch 0030:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   76.47967   98.24235   95.14769    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  108.80101    0.00000    0.00000    0.00000    0.00000   67.85372   54.30833    0.00000    0.00000
 Epoch 0031:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   75.83783   98.32118   95.10218    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  109.31805    0.00000    0.00000    0.00000    0.00000   68.28468   54.50814    0.00000    0.00000
 Epoch 0032:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   76.02718   98.37184   95.01884    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  109.77387    0.00000    0.00000    0.00000    0.00000   68.73484   54.69554    0.00000    0.00000
 Epoch 0033:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   76.18298   98.35497   94.92365    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  110.19762    0.00000    0.00000    0.00000    0.00000   69.20143   54.91855    0.00000    0.00000
 Epoch 0034:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   76.47027   98.20100   94.80637    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  110.54617    0.00000    0.00000    0.00000    0.00000   69.67144   55.13699    0.00000    0.00000
 Epoch 0035:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   76.82479   98.07050   94.69152    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  110.82750    0.00000    0.00000    0.00000    0.00000   70.09710   55.30718    0.00000    0.00000
 Epoch 0036:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   77.12026   98.23571   94.53254    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  111.02195    0.00000    0.00000    0.00000    0.00000   70.53286   55.45014    0.00000    0.00000
 Epoch 0037:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   77.41624   98.29544   94.36376    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  111.10950    0.00000    0.00000    0.00000    0.00000   70.92862   55.56501    0.00000    0.00000
 Epoch 0038:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   77.80840   98.40407   94.09850    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  111.06736    0.00000    0.00000    0.00000    0.00000   71.28572   55.65704    0.00000    0.00000
 Epoch 0039:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   78.12280   98.79399   93.81087    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  110.92280    0.00000    0.00000    0.00000    0.00000   71.67620   55.70105    0.00000    0.00000
 Epoch 0040:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   78.39862   98.97655   93.51825    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  110.70960    0.00000    0.00000    0.00000    0.00000   72.03804   55.73768    0.00000    0.00000
 Epoch 0041:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   99.19198   93.37982    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  110.59775    0.00000    0.00000    0.00000    0.00000   72.49756   55.87268    0.00000    0.00000
 Epoch 0042:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   80.14093   99.19934   93.14073    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  110.35587    0.00000    0.00000    0.00000    0.00000   72.84740   55.89170    0.00000    0.00000
 Epoch 0043:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   79.93209   99.21886   92.99950    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  110.13875    0.00000    0.00000    0.00000    0.00000   73.25723   55.97722    0.00000    0.00000
 Epoch 0044:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   80.17309   99.26549   92.84374    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  110.01750    0.00000    0.00000    0.00000    0.00000   73.67926   56.07594    0.00000    0.00000
 Epoch 0045:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   80.37399   99.30131   92.72590    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  110.00564    0.00000    0.00000    0.00000    0.00000   74.16219   56.23678    0.00000    0.00000
 Epoch 0046:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   80.81493   99.32222   92.67837    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  110.14823    0.00000    0.00000    0.00000    0.00000   74.71155   56.41553    0.00000    0.00000
 Epoch 0047:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   81.01622   99.17826   92.62148    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  110.31493    0.00000    0.00000    0.00000    0.00000   75.23500   56.60926    0.00000    0.00000
 Epoch 0048:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   81.00271   99.32355   92.50128    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  110.54241    0.00000    0.00000    0.00000    0.00000   75.74728   56.79163    0.00000    0.00000
 Epoch 0049:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   80.90746   99.53908   92.25465    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  110.79868    0.00000    0.00000    0.00000    0.00000   76.29959   56.99556    0.00000    0.00000
 Epoch 0050:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   80.91395   99.56366   91.94613    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  111.04344    0.00000    0.00000    0.00000    0.00000   76.86362   57.20267    0.00000    0.00000
 Epoch 0051:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   80.96138   99.53846   91.64538    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  111.32883    0.00000    0.00000    0.00000    0.00000   77.44526   57.38894    0.00000    0.00000
