       PRN01       PRN02       PRN03       PRN04       PRN05       PRN06       PRN07       PRN08       PRN09       PRN10       PRN11       PRN12       PRN13       PRN14       PRN15       PRN16       PRN17       PRN18       PRN19       PRN20       PRN21       PRN22       PRN23       PRN24       PRN25       PRN26       PRN27       PRN28       PRN29       PRN30       PRN31       PRN32       PRN33       PRN34       PRN35       PRN36
         nan  130.780947  172.653424   53.247898  184.739577         nan  114.469342  121.753887  106.858787   64.832695  104.741105   62.912249  114.908572         nan  123.707653         nan         nan  101.880300   99.629507         nan  106.477936         nan         nan   37.648365  143.292166  112.979430  118.412418         nan         nan  122.686334   27.390223         nan  109.809007  175.771261         nan  144.684070
         nan  130.755367  172.784598   53.316879  184.742277         nan  114.479865  121.803395  106.273928   64.503520  104.735390   63.407421  114.909243         nan  123.775157         nan         nan  101.886463   99.672782         nan  106.554283         nan         nan   37.923076  143.291236  112.979082  118.411530         nan         nan  122.663141   27.321657         nan  109.827377  176.085483         nan  144.636550
         nan  130.730158  172.914559   53.385171  184.745035         nan  114.490430  121.853104  105.682525   64.168536  104.729238   63.898505  114.909931         nan  123.843130         nan         nan  101.892432   99.715888         nan  106.630348         nan         nan   38.194626  143.291035  112.978705  118.410484         nan         nan  122.640049   27.253962         nan  109.845491  176.400332         nan  144.590125
         nan  130.705320  173.043303   53.452781  184.747847         nan  114.501035  121.903008  105.084673   63.827653  104.722642   64.385447  114.910639         nan  123.911572         nan         nan  101.898210   99.758827         nan  106.706123         nan         nan   38.463049  143.291573  112.978299  118.409282         nan         nan  122.617057   27.187139         nan  109.863350  176.715768         nan  144.544787
         nan  130.680855  173.170831   53.519717  184.750709         nan  114.511679  121.953106  104.480472   63.480782  104.715594   64.868198  114.911365         nan  123.980478         nan         nan  101.903801   99.801598         nan  106.781602         nan         nan   38.728386  143.292860  112.977865  118.407927         nan         nan  122.594167   27.121190         nan  109.880958  177.031748         nan  144.500526
         nan  130.656762  173.297144   53.585987  184.753614         nan  114.522363  122.003395  103.870029   63.127835  104.708087   65.346715  114.912111         nan  124.049848         nan         nan  101.909208   99.844203         nan  106.856780         nan         nan   38.990679  143.294905  112.977402  118.406421         nan         nan  122.571378   27.056115         nan  109.898317  177.348232         nan  144.457332
         nan  130.633042  173.422246   53.651597  184.756557         nan  114.533087  122.053871  103.253458   62.768720  104.700113   65.820958  114.912877         nan  124.119680         nan         nan  101.914433   99.886640         nan  106.931649         nan         nan   39.249970  143.297721  112.976911  118.404765         nan         nan  122.548692   26.991913         nan  109.915429  177.665185         nan  144.415195
         nan  130.609698  173.546142   53.716556  184.759533         nan  114.543850  122.104534  102.630877   62.403346  104.691664   66.290893  114.913662         nan  124.189974         nan         nan  101.919480   99.928911         nan  107.006205         nan         nan   39.506305  143.301320  112.976392  118.402963         nan         nan  122.526109   26.928582         nan  109.932299  177.982571         nan  144.374102
         nan  130.586730  173.668840   53.780870  184.762535         nan  114.554651  122.155384  102.002412   62.031618  104.682733   66.756494  114.914468         nan  124.260729         nan         nan  101.924350   99.971015         nan  107.080443         nan         nan   39.759732  143.305716  112.975845  118.401017         nan         nan  122.503631   26.866119         nan  109.948927  178.300358         nan  144.334042
         nan  130.564140  173.790349   53.844547  184.765556         nan  114.565491  122.206418  101.368195   61.653444  104.673313   67.217736  114.915295         nan  124.331947         nan         nan  101.929045  100.012953         nan  107.154357         nan         nan   40.010298  143.310924  112.975270  118.398931         nan         nan  122.481257   26.804520         nan  109.965318  178.618516         nan  144.295002
         nan  130.541930  173.910681   53.907595  184.768590         nan  114.576371  122.257637  100.728363   61.268728  104.663396   67.674602  114.916143         nan  124.403629         nan         nan  101.933567  100.054723         nan  107.227943         nan         nan   40.258054  143.316959  112.974668  118.396706         nan         nan  122.458989   26.743781         nan  109.981474  178.937018         nan  144.256969
         nan  130.520102  174.029849   53.970020  184.771629         nan  114.587288  122.309042  100.083059   60.877373  104.652973   68.127077  114.917013         nan  124.475777         nan         nan  101.937918  100.096327         nan  107.301197         nan         nan   40.503051  143.323837  112.974038  118.394346         nan         nan  122.436828   26.683896         nan  109.997398  179.255837         nan  144.219929
         nan  130.498658  174.147867   54.031831  184.774666         nan  114.598245  122.360635   99.432433   60.479282  104.642038   68.575153  114.917905         nan  124.548394         nan         nan  101.942099  100.137764         nan  107.374115         nan         nan   40.745340  143.331575  112.973380  118.391855         nan         nan  122.414774   26.624859         nan  110.013092  179.574952         nan  144.183868
