       PRN01       PRN02       PRN03       PRN04       PRN05       PRN06       PRN07       PRN08       PRN09       PRN10       PRN11       PRN12       PRN13       PRN14       PRN15       PRN16       PRN17       PRN18       PRN19       PRN20       PRN21       PRN22       PRN23       PRN24       PRN25       PRN26       PRN27       PRN28       PRN29       PRN30       PRN31       PRN32
  -50.263252   14.709559  -30.664907   42.496099  -14.642699  -24.849952   -0.982005  -47.874323   37.144335  -44.646100  -13.267897  -30.549204  -29.855237  -36.968517  -30.957405   50.362647  -33.534055   -0.644506  -31.729171   -3.256415  -65.831140  -50.812668  -34.692715  -34.079068  -24.947668   57.952010  -11.968890   -9.088235   11.564954  -26.901870   13.825740  -65.841300
  -50.344078   14.796966  -30.917733   42.320054  -14.515138  -24.925103   -0.759752  -47.558563   37.260670  -44.580770  -13.396286  -30.572001  -29.836845  -36.986670  -30.941993   50.623719  -33.554655   -0.426392  -31.744580   -3.162078  -66.005820  -51.112033  -34.653629  -34.070198  -25.043460   57.801026  -11.636303   -9.368113   11.321836  -26.828771   13.540808  -65.781273
  -50.425557   14.882931  -31.170084   42.142086  -14.387251  -24.999604   -0.537052  -47.242402   37.374843  -44.515891  -13.524479  -30.594647  -29.818365  -37.004720  -30.926545   50.883787  -33.575342   -0.208599  -31.759981   -3.068665  -66.181586  -51.410681  -34.614394  -34.061302  -25.138259   57.647921  -11.303798   -9.647840   11.078166  -26.754885   13.255806  -65.717379
  -50.507697   14.967445  -31.421953   41.962216  -14.259048  -25.073460   -0.313908  -46.925850   37.486837  -44.451458  -13.652462  -30.617144  -29.799797  -37.022663  -30.911059   51.142834  -33.596120    0.008863  -31.775374   -2.976185  -66.358441  -51.708595  -34.575006  -34.052380  -25.232073   57.492729  -10.971376   -9.927411   10.833961  -26.680204   12.970737  -65.649673
  -50.590505   15.050500  -31.673333   41.780465  -14.130544  -25.146674   -0.090327  -46.608915   37.596637  -44.387462  -13.780223  -30.639494  -29.781138  -37.040493  -30.895536   51.400842  -33.616989    0.225985  -31.790759   -2.884648  -66.536384  -52.005756  -34.535460  -34.043431  -25.324909   57.335483  -10.639040  -10.206824   10.589237  -26.604720   12.685603  -65.578211
  -50.673987   15.132090  -31.924217   41.596855  -14.001751  -25.219250    0.133689  -46.291606   37.704229  -44.323897  -13.907748  -30.661698  -29.762389  -37.058207  -30.879974   51.657792  -33.637951    0.442759  -31.806138   -2.794063  -66.715417  -52.302144  -34.495751  -34.034457  -25.416774   57.176218  -10.306790  -10.486074   10.344011  -26.528426   12.400404  -65.503049
  -50.758151   15.212205  -32.174600   41.411406  -13.872682  -25.291193    0.358134  -45.973934   37.809596  -44.260756  -14.035024  -30.683758  -29.743547  -37.075799  -30.864374   51.913664  -33.659007    0.659174  -31.821511   -2.704439  -66.895540  -52.597739  -34.455875  -34.025457  -25.507678   57.014965   -9.974631  -10.765158   10.098302  -26.451313   12.115143  -65.424245
  -50.843003   15.290839  -32.424474   41.224138  -13.743350  -25.362508    0.583003  -45.655905   37.912724  -44.198031  -14.162040  -30.705676  -29.724612  -37.093263  -30.848734   52.168439  -33.680159    0.875223  -31.836879   -2.615788  -67.076754  -52.892522  -34.415826  -34.016431  -25.597628   56.851759   -9.642563  -11.044070    9.852126  -26.373373   11.829822  -65.341860
  -50.928550   15.367983  -32.673833   41.035074  -13.613768  -25.433197    0.808292  -45.337529   38.013599  -44.135716  -14.288782  -30.727452  -29.705583  -37.110596  -30.833053   52.422098  -33.701408    1.090895  -31.852241   -2.528116  -67.259058  -53.186471  -34.375601  -34.007381  -25.686631   56.686632   -9.310588  -11.322808    9.605499  -26.294599   11.544443  -65.255954
  -51.014799   15.443630  -32.922670   40.844233  -13.483950  -25.503266    1.033997  -45.018814   38.112206  -44.073803  -14.415237  -30.749088  -29.686457  -37.127791  -30.817332   52.674620  -33.722756    1.306181  -31.867599   -2.441435  -67.442454  -53.479565  -34.335193  -33.998306  -25.774696   56.519616   -8.978710  -11.601368    9.358441  -26.214983   11.259007  -65.166590
  -51.101757   15.517773  -33.170978   40.651637  -13.353909  -25.572719    1.260112  -44.699768   38.208531  -44.012285  -14.541394  -30.770586  -29.667235  -37.144842  -30.801569   52.925984  -33.744205    1.521072  -31.882954   -2.355753  -67.626941  -53.771783  -34.294600  -33.989206  -25.861831   56.350744   -8.646929  -11.879744    9.110968  -26.134516   10.973517  -65.073830
  -51.189431   15.590405  -33.418750   40.457304  -13.223659  -25.641561    1.486633  -44.380399   38.302560  -43.951156  -14.667240  -30.791947  -29.647915  -37.161746  -30.785764   53.176168  -33.765755    1.735558  -31.898305   -2.271078  -67.812520  -54.063101  -34.253814  -33.980082  -25.948043   56.180046   -8.315248  -12.157933    8.863097  -26.053191   10.687973  -64.977738
  -51.277828   15.661517  -33.665980   40.261257  -13.093214  -25.709795    1.713555  -44.060715   38.394280  -43.890408  -14.792764  -30.813172  -29.628496  -37.178494  -30.769916   53.425153  -33.787408    1.949631  -31.913654   -2.187420  -67.999190  -54.353496  -34.212833  -33.970935  -26.033342   56.007556   -7.983670  -12.435930    8.614847  -25.971000   10.402379  -64.878380
  -51.366953   15.731103  -33.912662   40.063515  -12.962587  -25.777427    1.940875  -43.740722   38.483676  -43.830035  -14.917952  -30.834263  -29.608976  -37.195083  -30.754024   53.672914  -33.809167    2.163280  -31.929001   -2.104787  -68.186951  -54.642945  -34.171650  -33.961763  -26.117734   55.833302   -7.652195  -12.713732    8.366235  -25.887935   10.116736  -64.775821
  -51.456815   15.799156  -34.158787   39.864097  -12.831792  -25.844462    2.168586  -43.420430   38.570737  -43.770029  -15.042794  -30.855221  -29.589354  -37.211506  -30.738089   53.919429  -33.831032    2.376496  -31.944347   -2.023188  -68.375803  -54.931424  -34.130261  -33.952569  -26.201229   55.657317   -7.320827  -12.991334    8.117278  -25.803988    9.831046  -64.670127
  -51.547420   15.865669  -34.404350   39.663025  -12.700844  -25.910903    2.396685  -43.099844   38.655448  -43.710384  -15.167278  -30.876047  -29.569630  -37.227757  -30.722108   54.164676  -33.853005    2.589270  -31.959692   -1.942631  -68.565746  -55.218907  -34.088661  -33.943351  -26.283834   55.479630   -6.989568  -13.268732    7.867995  -25.719152    9.545310  -64.561365
